,1,2,3,4,5,difficulty
0,a,b,a,c,k,0.008653233148691486
1,a,b,a,s,e,0.7180853105986109
2,a,b,a,t,e,0.3963397123471226
3,a,b,a,y,a,0.29831504575684764
4,a,b,b,e,y,0.77536987678675
5,a,b,b,o,t,0.4451932721860846
6,a,b,e,t,s,0.920821491943801
7,a,b,h,o,r,0.6282847895049898
8,a,b,i,d,e,0.2513002672305762
9,a,b,o,d,e,0.5629055624660232
10,a,b,o,r,t,0.9041409952171495
11,a,b,o,u,t,0.9832686087941325
12,a,b,o,v,e,0.625673784083697
13,a,b,u,s,e,0.7191112527798864
14,a,b,u,t,s,0.6972200585332031
15,a,b,y,s,s,0.05944778910379278
16,a,c,h,e,d,0.7375055722352956
17,a,c,h,e,s,0.24691281356425732
18,a,c,i,d,s,0.6031026945875092
19,a,c,i,n,g,0.22496049151925746
20,a,c,k,e,e,0.787965658878881
21,a,c,o,r,n,0.8388807554678651
22,a,c,r,e,s,0.5966590874392983
23,a,c,r,i,d,0.036574788179202455
24,a,c,t,e,d,0.3014092687986649
25,a,c,t,i,n,0.7445209986609017
26,a,c,t,o,r,0.8056024990175109
27,a,c,u,t,e,0.38921468543715243
28,a,d,a,g,e,0.7213959758803824
29,a,d,a,p,t,0.9616642557937538
30,a,d,d,e,d,0.9253450250825476
31,a,d,d,e,r,0.6889522864469894
32,a,d,d,l,e,0.07308943172699389
33,a,d,e,p,t,0.846227285213154
34,a,d,i,e,u,0.987397324094832
35,a,d,i,o,s,0.3293784475934649
36,a,d,i,t,s,0.2201915394378463
37,a,d,m,a,n,0.8947810070615343
38,a,d,m,i,n,0.20415018926900397
39,a,d,m,i,t,0.06183475801314542
40,a,d,o,b,e,0.09600206042498816
41,a,d,o,b,o,0.5983296773937814
42,a,d,o,p,t,0.5632188875658704
43,a,d,o,r,e,0.41656153034210386
44,a,d,o,r,n,0.6443773694285969
45,a,d,u,l,t,0.5531800044306252
46,a,d,z,e,s,0.9492008811394719
47,a,e,g,i,s,0.2788668631660911
48,a,e,o,n,s,0.4095846704830197
49,a,e,r,i,e,0.45836361971783446
50,a,f,f,i,x,0.9607432419549191
51,a,f,i,r,e,0.10049524502894669
52,a,f,o,o,t,0.33075007099175646
53,a,f,o,r,e,0.1012972945095959
54,a,f,t,e,r,0.29218202472544885
55,a,g,a,i,n,0.5468730553746503
56,a,g,a,p,e,0.9264945651152855
57,a,g,a,t,e,0.5949213781625058
58,a,g,a,v,e,0.044454147289242685
59,a,g,e,n,t,0.5767838858171014
60,a,g,g,r,o,0.009754263400726937
61,a,g,i,l,e,0.4746471856226031
62,a,g,i,n,g,0.0144438504171982
63,a,g,l,o,w,0.03871525694880984
64,a,g,o,n,y,0.8177094150295687
65,a,g,o,r,a,0.5852629743624368
66,a,g,r,e,e,0.9149028658747821
67,a,h,e,a,d,0.37331550031353256
