,1,2,3,4,5,difficulty
0,a,b,a,c,k,556.1725142008232
1,a,b,a,s,e,1485.8062204071591
2,a,b,a,t,e,2590.0516318105197
3,a,b,a,y,a,1234.2581324024445
4,a,b,b,e,y,2547.7637679247027
5,a,b,b,o,t,1074.9796100007518
6,a,b,e,t,s,2239.24100969072
7,a,b,h,o,r,369.98030882366743
8,a,b,i,d,e,1003.8543130262718
9,a,b,o,d,e,1789.116001969732
10,a,b,o,r,t,770.6087508067084
11,a,b,o,u,t,2978.6578997354154
12,a,b,o,v,e,1109.0664743055354
13,a,b,u,s,e,599.1121956034987
14,a,b,u,t,s,1678.9616726407785
15,a,b,y,s,s,830.4015357645651
16,a,c,h,e,d,632.9574390206391
17,a,c,h,e,s,3133.575082457328
18,a,c,i,d,s,812.9318253136855
19,a,c,i,n,g,763.7471854521875
20,a,c,k,e,e,2567.475513266034
21,a,c,o,r,n,491.0392094565925
22,a,c,r,e,s,1275.632365057083
23,a,c,r,i,d,-520.0103531256834
24,a,c,t,e,d,-657.231186359631
25,a,c,t,i,n,4326.860014317352
26,a,c,t,o,r,1963.9341451293212
27,a,c,u,t,e,3931.390165596297
28,a,d,a,g,e,-72.22672033243566
29,a,d,a,p,t,821.940269606218
30,a,d,d,e,d,209.65857948594316
31,a,d,d,e,r,-150.43373243538667
32,a,d,d,l,e,2036.4910576667007
33,a,d,e,p,t,1149.1858617875664
34,a,d,i,e,u,3134.3917207959103
35,a,d,i,o,s,2481.962832678762
36,a,d,i,t,s,972.7759988678449
37,a,d,m,a,n,3190.650479799877
38,a,d,m,i,n,3580.723312957212
39,a,d,m,i,t,752.42744426359
40,a,d,o,b,e,2765.568958783797
41,a,d,o,b,o,625.443239135296
42,a,d,o,p,t,1447.6113432184218
43,a,d,o,r,e,1048.999940499566
44,a,d,o,r,n,2772.2098874220937
45,a,d,u,l,t,1837.1521893876768
46,a,d,z,e,s,1750.1073987672085
47,a,e,g,i,s,-360.0323658298371
48,a,e,o,n,s,1977.8230790922591
49,a,e,r,i,e,1874.267597404304
50,a,f,f,i,x,3624.1635308131044
51,a,f,i,r,e,2921.329520508208
52,a,f,o,o,t,3036.728490503022
53,a,f,o,r,e,-1298.7416549204736
54,a,f,t,e,r,-340.0445605923044
55,a,g,a,i,n,907.2845771837187
56,a,g,a,p,e,1020.7590035800836
57,a,g,a,t,e,447.06527063508634
58,a,g,a,v,e,1526.503926055379
59,a,g,e,n,t,-252.47790692726153
60,a,g,g,r,o,-573.4768704978151
61,a,g,i,l,e,970.763520001684
62,a,g,i,n,g,2281.9798730884568
63,a,g,l,o,w,1949.0003672361752
64,a,g,o,n,y,2428.1182740076247
65,a,g,o,r,a,1972.1087791974205
66,a,g,r,e,e,800.6926669224778
67,a,h,e,a,d,1605.5591961592525
68,a,h,o,l,d,1320.0833883097737
69,a,i,d,e,d,2501.422428316625
70,a,i,d,e,r,85.69812667927022
71,a,i,d,e,s,2582.8587607653067
72,a,i,l,e,d,1712.7400786570724
73,a,i,m,e,d,1664.4097546136231
74,a,i,m,e,r,2591.729584912561
75,a,i,o,l,i,929.0352254495243
76,a,i,r,e,d,2471.335905923369
77,a,i,s,l,e,-522.7318157719199
78,a,l,a,r,m,2674.1981052712663
79,a,l,b,u,m,1701.212912384118
80,a,l,d,e,r,-690.3365172763433
81,a,l,e,p,h,2381.582570819258
82,a,l,e,r,t,1037.0112557532148
83,a,l,g,a,e,2408.2026580521006
84,a,l,g,a,l,2495.0083543635637
85,a,l,i,a,s,-407.4037044320835
86,a,l,i,b,i,765.9635580901746
87,a,l,i,e,n,198.89015795802106
88,a,l,i,g,n,432.12742029072683
89,a,l,i,k,e,-480.0125619489015
90,a,l,i,v,e,3292.7844112041976
91,a,l,k,y,d,1317.6937980598218
92,a,l,k,y,l,3175.212066112561
93,a,l,l,a,y,980.4482137950955
94,a,l,l,e,y,1855.2060994945598
95,a,l,l,o,t,2333.9594354988317
96,a,l,l,o,w,2347.1173620383147
97,a,l,l,o,y,-373.56536454418074
98,a,l,l,y,l,990.6718124212434
99,a,l,o,e,s,-1672.7933369945604
100,a,l,o,f,t,206.4052328999992
101,a,l,o,h,a,2127.9215165304076
102,a,l,o,n,e,3397.5289314650654
103,a,l,o,n,g,-2262.1739712358444
104,a,l,o,o,f,-1588.2412197714912
105,a,l,o,u,d,1010.1961333456723
106,a,l,p,h,a,2472.0630836283904
107,a,l,t,a,r,463.07071252378705
108,a,l,t,e,r,3113.843230635623
109,a,l,t,o,s,-775.8220287223821
110,a,l,u,m,s,4329.343181047956
111,a,m,a,s,s,2304.760091845581
112,a,m,a,z,e,2246.337344608274
113,a,m,b,e,r,1101.7978988103764
114,a,m,b,i,t,-1311.5546990918328
115,a,m,b,l,e,2751.2605620288186
116,a,m,b,o,s,1661.87756428465
117,a,m,e,n,d,375.47224397594505
118,a,m,i,d,e,2427.0149618992705
119,a,m,i,n,e,26.01477319213427
120,a,m,i,n,o,804.2403310988409
121,a,m,i,s,s,3511.990675885657
122,a,m,i,t,y,1458.6509753083872
123,a,m,n,i,o,1368.779005500511
124,a,m,o,n,g,3025.7687479692268
125,a,m,o,u,r,4711.643636544493
126,a,m,p,e,d,2906.999604104619
127,a,m,p,l,e,4299.581197375945
128,a,m,p,l,y,1474.5877846587994
129,a,m,u,s,e,3121.925490807831
130,a,n,c,h,o,1896.1995844935159
131,a,n,g,e,l,2098.894589596187
132,a,n,g,e,r,-821.6348348602501
133,a,n,g,l,e,-1341.2790068792683
134,a,n,g,r,y,7.023592112882852
135,a,n,g,s,t,2784.712061259819
136,a,n,i,m,a,-134.15934377081453
137,a,n,i,m,e,-15.80780087900689
138,a,n,i,o,n,2951.1046429414355
